x,y,accel,injury
1024,1042,0.47623066953353677,1.188541755938371
5510,1075,0.48916341976106226,1.468859137558736
5397,1077,0.7272936107053511,0.4123443143087077
5283,1079,0.9844230206274437,0.18198164223678195
5170,1080,-0.19231395472739843,-0.33123134340094923
5056,1082,-0.3949981759085709,-0.41647153575988693
4943,1084,-0.39063108069239777,-0.4367597406348895
4829,1085,-0.3779050717599347,-0.30431279369953257
4716,1087,0.0035272032677878427,-0.306545427056145
4602,1089,-0.060196294447478295,-0.17185203331111976
4489,1090,-0.12353723746508796,-0.4514853065414824
4375,1092,0.1976643087286143,-0.29279808651230216
4261,1094,-0.3506036949969747,0.9782573667343814
4148,1095,-0.12083030365583951,-0.409888670380095
4034,1097,0.08061201627720374,-0.1683872398983306
3921,1098,-0.3545354058127112,-0.3912691016071947
3807,1100,-0.1446890683062424,-0.34089647295599296
3694,1102,0.22656671933655176,-0.38642156435794955
3580,1103,-0.07986045938045631,-0.14982769541684363
3467,1105,0.11565345706482211,-0.3318083621786762
3353,1107,-0.06137240630335106,0.1275467766080339
3240,1108,0.05367154176400313,-0.10205105575887481
3126,1110,0.57183822103409,-0.04542114269050143
3012,1112,-0.11025384271377511,-0.0342262471304158
2899,1113,-0.22901623632543205,0.1619937513846487
2785,1115,-0.2826841743319805,-0.3391296464199218
2672,1116,-0.3845562844732115,-0.13492470986246005
2558,1118,-0.23090306885156942,-0.36303899398536843
2445,1120,-0.44510554910042466,-0.14745731666946205
2331,1121,-0.38967748497207905,-0.30369302969460193
2218,1123,-0.38730486847906176,-0.06988413741232292
2104,1125,-0.3746017332054442,-0.130052487666758
1991,1126,-0.2127998214029668,-0.31895171529470484
1877,1128,-0.3718984542864564,-0.17762442444781193
1764,1130,-0.12854744545849248,-0.3174257302679245
1650,1131,-0.19502104704983347,-0.4514853065414824
1536,1133,-0.17253902113005876,-0.32273926867724373
1423,1135,0.027296889626278298,-0.2506402810308205
1309,1136,-0.29629547997692346,-0.4249149825453762
1196,1138,-0.08981851638282112,-0.4514853065414824
1082,1139,-0.18517175566619545,-0.04139721474554522
969,1141,-0.19843826421804583,-0.012649630877497228
5569,1173,0.9765796294470407,3.587353362644338
5455,1175,0.14805546575892553,0.3073747467472399
5341,1176,-0.034461473553677416,-0.13090782601680556
5228,1178,-0.4479159276056109,-0.3955286515812952
5114,1179,-0.5418482175582957,-0.3974885492551963
5001,1181,-0.31165901973888127,-0.31330380579993106
4887,1183,-0.3322448534020019,-0.4514853065414824
4774,1184,-0.15699533107367242,-0.22120468405002755
4660,1186,0.0006311623801080246,-0.4514853065414824
4547,1188,0.25884366085425337,-0.21615351494093762
4433,1189,0.2767943132610588,0.019847334597576965
4320,1191,-0.10155028142450388,-0.1792274384637782
4206,1193,-0.007377992919401072,-0.16821402348579487
4093,1194,0.11027547520395116,-0.2421687013725351
3979,1196,0.16097269827915078,-0.2452127346106956
3865,1197,0.04387596095929755,-0.25324488561902453
3752,1199,-0.12406184912942382,-0.18004127593441396
3638,1201,-0.07028217551694078,-0.3936559265171964
3525,1202,-0.04673638023992324,-0.4514853065414824
3411,1204,0.12649533117211448,-0.15669936046197322
3298,1206,-0.0547707296694131,-0.2835636913446615
3184,1207,-0.010597543016860939,-0.3487755227980125
3071,1209,0.14101722473747977,-0.11579896894767833
2957,1211,-0.02307800335433084,-0.31000418573090327
2844,1212,0.2929755488204508,0.29101229115502997
2730,1214,-0.38591256343784724,0.008397809077701152
2617,1215,0.03284840505257568,-0.06306585113891904
2503,1217,-0.3698303514906575,-0.20606023628188766
2389,1219,-0.2703858187134155,-0.263736049775847
2276,1220,-0.20632928186116906,-0.2605104746325913
2162,1222,-0.31072344765072535,-0.11991479328438392
2049,1224,-0.015473420626425033,-0.4514853065414824
1935,1225,-0.38309724780521304,0.019035034900617327
1822,1227,-0.20442044311879,-0.29146225718279206
1708,1229,-0.19704061280004276,-0.03443430610467605
1595,1230,-0.04932701206561947,-0.06003626570436227
1481,1232,-0.15807403601414233,-0.35781347943576325
1368,1234,-0.301927706290709,-0.3401473260912507
1254,1235,-0.29843586690171203,-0.3677693280182411
1141,1237,-0.2588947290945515,-0.3641623951960682
1027,1238,-0.23028118130338684,-0.11516013188984346
913,1240,-0.04243824946795348,0.1377558778223196
5627,1270,-0.0631477852180331,0.8456231971495081
5513,1272,0.11513576654661697,-0.1642764859981561
5400,1274,-0.13461359702927722,-0.16941294026238993
5286,1275,-0.37019584902946145,-0.4375550662479423
5173,1277,-0.42293604781468874,-0.4206342361198645
5059,1278,-0.406300876526542,-0.3151534491478954
4946,1280,-0.29066367325683135,-0.2529406524829691
4832,1282,0.20816489400078392,-0.39275304169121933
4718,1283,0.0145238294127081,-0.25749311486543164
4605,1285,0.000488160252607589,0.21668945342756527
4491,1287,0.15124803621297397,-0.22086403692573597
4378,1288,-0.2066248573588385,0.18765118862826405
4264,1290,0.20996888510989029,-0.34149166870891934
4151,1292,-0.03138431299432157,-0.37517167400323115
4037,1293,-0.0040920943403326806,-0.13955305668929255
3924,1295,0.060854649805865545,-0.3991025116316378
3810,1296,-0.08105531085813215,-0.3588552027527558
3697,1298,-0.05944678260393308,-0.4514853065414824
3583,1300,-0.03452051761685636,-0.19586947411530128
3469,1301,0.11140048519844747,-0.29751559935953953
3356,1303,0.1987867221121727,-0.26611565282685795
3242,1305,0.24156740175808294,-0.06753950862691127
3129,1306,0.03214734863569589,-0.028759598066901166
